song,artists
Cruel Summer,Taylor Swift
Paint The Town Red,Doja Cat
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
Snooze,SZA
Standing Next To You,Jung Kook
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
Now And Then,The Beatles
Fast Car,Luke Combs
Thinkin' Bout Me,Morgan Wallen
Last Night,Morgan Wallen
Greedy,Tate McRae
Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift
Fukumean,Gunna
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
Need A Favor,Jelly Roll
Dance The Night,Dua Lipa
Vampire,Olivia Rodrigo
Water,Tyla
Monaco,Bad Bunny
Agora Hills,Doja Cat
IDGAF,Drake Featuring Yeat
Save Me,Jelly Roll With Lainey Wilson
Flowers,Miley Cyrus
First Person Shooter,Drake Featuring J. Cole
Used To Be Young,Miley Cyrus
Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift
Lil Boo Thang,Paul Russell
What Was I Made For?,Billie Eilish
White Horse,Chris Stapleton
Good Good,"Usher, Summer Walker & 21 Savage"
Slut! (Taylor's Version) [From The Vault],Taylor Swift
Cobra,Megan Thee Stallion
My Love Mine All Mine,Mitski
What It Is (Block Boy),Doechii Featuring Kodak Black
Dial Drunk,Noah Kahan With Post Malone
Daylight,David Kushner
Stick Season,Noah Kahan
Kill Bill,SZA
Barbie World,Nicki Minaj & Ice Spice With Aqua
I Know ?,Travis Scott
Bad Idea Right?,Olivia Rodrigo
Wild Ones,Jessie Murph & Jelly Roll
Lose Control,Teddy Swims
Harley Quinn,Fuerza Regida & Marshmello
Style (Taylor's Version),Taylor Swift
Pretty Little Poison,Warren Zeiders
Bad Blood (Taylor's Version),Taylor Swift
World On Fire,Nate Smith
Seven,Jung Kook Featuring Latto
Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift
On My Mama,Victoria Monet
Try That In A Small Town,Jason Aldean
Strangers,Kenya Grace
Virginia Beach,Drake
500lbs,Lil Tecca
Can't Catch Me Now,Olivia Rodrigo
Perro Negro,Bad Bunny & Feid
3D,Jung Kook & Jack Harlow
Blank Space (Taylor's Version),Taylor Swift
Get Him Back!,Olivia Rodrigo
The Painter,Cody Johnson
Great Gatsby,Rod Wave
Single Soon,Selena Gomez
Bongos,Cardi B & Megan Thee Stallion
Watermelon Moonshine,Lainey Wilson
Qlona,Karol G & Peso Pluma
Can't Have Mine,Dylan Scott
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
Everything I Love,Morgan Wallen
Slime You Out,Drake Featuring SZA
Rich Men North Of Richmond,Oliver Anthony Music
Wildest Dreams (Taylor's Version),Taylor Swift
Out Of The Woods (Taylor's Version),Taylor Swift
Truck Bed,HARDY
Meltdown,Travis Scott Featuring Drake
Hey Driver,Zach Bryan Featuring The War And Treaty
Welcome To New York (Taylor's Version),Taylor Swift
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
Segun Quien,Maluma & Carin Leon
Burn It Down,Parker McCollum
Stars Like Confetti,Dustin Lynch
LaLa,Myke Towers
Shake It Off (Taylor's Version),Taylor Swift
SkeeYee,Sexyy Red
God Gave Me A Girl,Russell Dickerson
Standing Room Only,Tim McGraw
Fina,Bad Bunny & Young Miko
El Amor de Su Vida,Grupo Frontera & Grupo Firme
All You Had To Do Was Stay (Taylor's Version),Taylor Swift
Turks & Caicos,Rod Wave Featuring 21 Savage
Mi Ex Tenia Razon,Karol G
New Romantics (Taylor's Version),Taylor Swift
Un Preview,Bad Bunny
Too Much,"The Kid LAROI, Jung Kook & Central Cee"
Save Me The Trouble,Dan + Shay
Clean (Taylor's Version),Taylor Swift
Bleed,The Kid LAROI
But I Got A Beer In My Hand,Luke Bryan
We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
Sarah's Place,Zach Bryan Featuring Noah Kahan
Lovin On Me,Jack Harlow
Lil Boo Thang,Paul Russell
White Horse,Chris Stapleton
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
Save Me (with Lainey Wilson),Jelly Roll
Need A Favor,Jelly Roll
90s Rap Mashup,Austin Williams
Cruel Summer,Taylor Swift
Sin So Sweet,Warren Zeiders
Now And Then,The Beatles
Around Me the Cold Night,Luminara Stellaris
Fairytale Of Philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce"
Thinkin’ Bout Me,Morgan Wallen
Next Winter I Will Wait for You Forever,Luminara Stellaris
Christmas / Sarajevo 12/24 (Instrumental),Trans-Siberian Orchestra
Fast Car,Luke Combs
greedy,Tate McRae
All I Want for Christmas Is You,Mariah Carey
Lose Control,Teddy Swims
In the Sky a White Cloud Drifted Lazily,Luminara Stellaris
Houdini,Dua Lipa
Wrap Me Up,Jimmy Fallon & Meghan Trainor
Even Though I Know You,Luminara Stellaris
Standing Next to You,Jung Kook
Last Night,Morgan Wallen
Water,Tyla
Paint The Town Red,Doja Cat
Now I Know I Know I've Lost You,Luminara Stellaris
Where the Wild Things Are,Luke Combs
Rockin' Around the Christmas Tree (Single),Brenda Lee
Evil Ways (feat. J. Cole),Drake
The Wind Brings Winter,Luminara Stellaris
3D,Jung Kook & Jack Harlow
Still Not Fade the Footprints,Luminara Stellaris
Tonight I Dreamed a Pink Dream,Luminara Stellaris
You Broke My Heart,Drake
exes,Tate McRae
Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),Olivia Rodrigo
Karma,Taylor Swift
My Heart Has Come Back,Luminara Stellaris
Why Don't You Tell the Truth ?,The day you
I Still Miss You Every Time Dusk Falls,Luminara Stellaris
Used To Be Young,Miley Cyrus
Better Place (From TROLLS Band Together),*NSYNC & Justin Timberlake
Fancy Like Christmas,Walker Hayes
To Be A Man (feat. Darius Rucker),Dax
Rich Men North of Richmond,Oliver Anthony Music
Standing Next to You (Band Version),Jung Kook
Snowman,Sia
You Don't Need to Worry,The day you
Standing Next to You (Instrumental),Jung Kook
Wild Ones (Extended Version),Jessie Murph & Jelly Roll
The Pink Rays of Sunlight Disappear,Luminara Stellaris
Standing Next to You (Future Funk Remix),Jung Kook
Standing Next to You (Slow Jam Remix),Jung Kook
Standing Next to You (Holiday Remix),Jung Kook
Keith,Kaylee Bell
Save Me,Jelly Roll
Standing Next to You (PBR&B Remix),Jung Kook
Watermelon Moonshine,Lainey Wilson
Standing Next to You (Latin Trap Remix),Jung Kook
Gratitude,Brandon Lake
Flyin' Pass (Single),Caldwell
Wizards in Winter (Instrumental),Trans-Siberian Orchestra
Anti-Hero,Taylor Swift
The Painter,Cody Johnson
Nights in White Satin (Single Edit),"The Moody Blues, London Festival Orchestra & Peter Knight"
The Buds of Youth Are Still Lingering There,Luminara Stellaris
If You Dont Have One-The Day You,The day you
Lover,Taylor Swift
Islands In the Stream,Dolly Parton & Kenny Rogers
Fairytale Of Philadelphia,"The Philly Specials, Jason Kelce & Travis Kelce"
MONACO,Bad Bunny
Dance The Night,Dua Lipa
The Christmas Song (Merry Christmas to You),"Nat ""King"" Cole"
Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift
My Arms Are Spread Wide With Joy,Luminara Stellaris
Son Of A Sinner,Jelly Roll
Stories About My Brother,Drake
The Shoe Fits,Drake
Forever Settled Inside Me,Luminara Stellaris
Red Button,Drake
The Best,Nicotine Dolls
So It's Sad to Be Apart,Luminara Stellaris
Tennessee Whiskey,Chris Stapleton
A Mad Russian's Christmas (Instrumental),Trans-Siberian Orchestra
Wick Man,Drake
Dirt Cheap,Cody Johnson
G6,2 Chainz & Lil Wayne
Please Stay Don't Go,The day you
Dial Drunk,Noah Kahan & Post Malone
Let It Be (feat. Paul McCartney & Ringo Starr),Dolly Parton
Presha,2 Chainz & Lil Wayne
Purple Rain,Dolly Parton
TRUCK BED,HARDY
Those Who Leave Will Not Return,Luminara Stellaris
Christmas Canon Rock,Trans-Siberian Orchestra
In My Life,The Beatles
White Christmas,Bing Crosby
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish
